Material,Hardness,Density,Temperature,Load,Speed,WearRate,FrictionCoefficient
Copper,53.93,8.85,234,22,423,0.0922,0.3811
Ceramic,85.42,3.78,76,28,307,0.1735,0.3382
PTFE,9.79,2.17,398,49,175,1.4581,1.0
Nickel,75.06,8.78,130,66,734,0.1571,0.6652
Magnesium,37.77,1.81,93,103,775,0.1933,1.0
CastIron,81.47,7.14,179,97,941,0.2202,0.9393
Nickel,65.22,8.85,671,19,659,0.1226,0.3492
Brass,62.92,8.52,331,42,729,0.0499,0.717
Aluminum,44.09,2.78,484,33,947,0.0781,0.5653
Magnesium,39.61,1.65,554,92,436,0.5687,1.0
PTFE,9.75,2.17,747,168,777,2.2393,1.0
PTFE,5.77,2.28,272,41,381,0.6946,1.0
Magnesium,38.73,1.88,645,48,415,0.3584,1.0
Tungsten,99.86,19.17,720,56,362,0.1875,0.6275
Inconel,82.49,8.28,122,198,530,0.1973,1.0
Inconel,86.83,8.16,593,173,503,0.4688,1.0
Ceramic,97.63,3.62,651,136,933,0.1603,1.0
Steel,71.23,7.85,411,156,245,0.5803,1.0
Titanium,92.47,4.44,222,117,236,0.2572,1.0
PTFE,7.23,2.17,126,139,645,0.6127,1.0
Inconel,95.84,8.45,455,94,549,0.2268,0.9025
PTFE,10.48,2.12,743,197,919,2.0941,1.0
Aluminum,56.92,2.68,615,145,610,0.4905,1.0
Copper,38.76,8.89,792,61,981,0.2891,1.0
Steel,79.74,7.73,602,195,818,0.3814,1.0
PTFE,12.6,2.1,783,33,701,0.4672,1.0
Aluminum,50.58,2.68,505,67,424,0.3122,1.0
Copper,54.1,8.83,307,125,528,0.2397,1.0
Copper,44.08,8.98,40,136,612,0.1418,1.0
Brass,56.06,8.31,575,22,808,0.0963,0.3136
Bronze,57.85,8.76,481,166,963,0.3128,1.0
CastIron,84.64,7.04,176,60,117,0.2763,0.5234
Aluminum,43.92,2.63,482,172,275,1.0126,1.0
Ceramic,97.7,3.69,454,62,972,0.1599,0.5623
Nickel,63.16,8.75,700,17,855,0.1501,0.3477
Bronze,71.89,8.73,26,64,306,0.1602,0.9378
Brass,56.71,8.66,695,79,580,0.2732,1.0
Magnesium,42.16,1.62,434,194,334,0.7596,1.0
Graphite,23.33,2.09,517,96,909,0.4697,1.0
Zinc,28.24,7.17,407,81,233,0.7531,1.0
Zinc,26.14,7.06,375,122,107,2.133,1.0
Steel,79.53,7.82,251,64,928,0.1267,0.6405
PTFE,14.25,2.15,292,69,835,0.4103,1.0
Brass,46.61,8.54,201,171,694,0.2045,1.0
Titanium,88.36,4.49,42,13,673,0.0429,0.2367
Titanium,92.76,4.52,663,109,964,0.1614,1.0
Bronze,61.33,8.61,293,196,53,2.2779,1.0
CastIron,82.62,7.1,738,91,544,0.3337,0.8315
Titanium,83.04,4.49,632,111,173,0.675,0.9728
Titanium,76.8,4.6,183,12,352,0.1692,0.1615
CastIron,87.17,7.34,770,164,321,0.5842,1.0
Inconel,94.4,8.12,800,45,664,0.129,0.5271
Tungsten,96.63,19.26,190,189,882,0.1326,1.0
Titanium,81.38,4.43,733,78,279,0.4357,0.7508
Graphite,25.0,2.12,604,26,327,0.4042,0.9588
Brass,45.71,8.47,380,181,782,0.3319,1.0
Copper,53.43,8.95,94,186,752,0.2025,1.0
Zinc,27.85,7.08,403,54,587,0.2733,1.0
Inconel,90.89,8.27,552,86,283,0.4238,0.9055
Aluminum,42.27,2.67,796,10,795,0.1282,0.319
Zinc,26.2,7.06,460,85,274,0.8793,1.0
Steel,78.5,7.87,108,164,285,0.2006,1.0
Steel,78.66,7.86,454,5,503,0.1817,0.1707
Aluminum,45.87,2.74,177,156,521,0.3023,1.0
Titanium,92.61,4.6,749,165,889,0.225,1.0
Steel,74.46,7.87,645,31,198,0.2728,0.3566
Bronze,60.95,8.89,546,5,131,0.115,0.2495
Aluminum,50.45,2.74,262,118,370,0.3258,1.0
Aluminum,48.73,2.73,61,34,537,0.0998,0.745
Aluminum,50.07,2.76,52,145,651,0.1592,1.0
Aluminum,40.31,2.7,523,197,98,3.4154,1.0
Steel,77.0,7.88,613,84,190,0.4749,0.7957
Steel,69.8,7.89,200,70,57,0.5506,1.0
Magnesium,32.67,1.69,624,82,667,0.4482,1.0
Aluminum,49.39,2.74,280,146,179,0.6289,1.0
Tungsten,92.87,19.03,689,102,191,0.6676,0.8811
Zinc,25.52,7.09,292,141,375,0.6171,1.0
Bronze,59.99,8.76,669,86,914,0.1589,1.0
PTFE,12.87,2.17,694,119,311,2.7749,1.0
PTFE,11.69,2.3,57,131,917,0.209,1.0
Nickel,70.77,8.75,148,101,886,0.0401,1.0
Steel,78.4,7.82,623,11,113,0.2602,0.2843
Steel,79.36,7.77,117,185,801,0.0983,1.0
Magnesium,41.01,1.61,619,193,336,1.179,1.0
CastIron,72.99,7.3,741,162,178,1.29,1.0
Copper,50.14,8.92,490,188,840,0.3329,1.0
Steel,65.49,7.72,244,179,767,0.2544,1.0
Inconel,80.4,8.37,76,169,345,0.2183,1.0
Tungsten,96.55,19.17,408,39,582,0.2213,0.4433
Graphite,21.91,2.11,507,19,859,0.2269,0.8626
Graphite,19.23,2.14,390,183,587,0.9574,1.0
Ceramic,85.21,3.89,556,86,642,0.2437,0.9536
CastIron,71.52,7.04,714,33,138,0.4179,0.4647
Ceramic,93.0,3.89,421,171,939,0.2029,1.0
Tungsten,97.06,19.34,194,27,161,0.1843,0.344
Magnesium,38.19,1.63,382,21,486,0.0763,0.4324
Zinc,32.28,7.08,445,193,909,0.4388,1.0
Zinc,29.25,7.04,197,170,603,0.3387,1.0
Magnesium,41.03,1.69,793,169,872,0.6336,1.0
Steel,83.09,7.86,348,60,260,0.2602,0.6034
Inconel,84.41,8.45,180,17,878,0.0823,0.28
Nickel,60.59,8.75,450,136,84,1.6695,1.0
Ceramic,87.24,3.67,44,176,436,0.146,1.0
Brass,52.77,8.61,390,56,689,0.1729,0.8159
Graphite,18.23,2.0,234,44,335,0.2703,1.0
Graphite,22.72,1.89,134,73,489,0.3021,1.0
Steel,78.88,7.77,531,29,557,0.1849,0.5069
Nickel,65.67,8.82,384,98,842,0.2746,1.0
Magnesium,38.78,1.65,402,16,722,0.1771,0.4718
Inconel,80.46,8.43,690,45,128,0.4192,0.5379
Zinc,29.5,7.06,177,19,229,0.076,0.7756
Titanium,81.85,4.49,355,18,354,0.0442,0.475
Brass,61.33,8.36,216,139,459,0.2809,1.0
Titanium,92.45,4.58,281,119,548,0.1052,0.9659
Aluminum,43.4,2.78,701,34,222,0.4345,0.8691
Zinc,31.31,7.1,634,85,365,0.6366,1.0
Copper,48.61,8.94,395,47,209,0.346,0.932
Zinc,30.53,7.1,32,116,629,0.0669,1.0
Copper,38.45,9.0,281,117,106,1.1677,1.0
Zinc,35.31,7.2,172,172,550,0.3887,1.0
Nickel,61.38,8.87,574,38,97,0.4814,0.665
Titanium,90.89,4.57,420,115,271,0.334,1.0
Inconel,87.33,8.26,452,141,222,0.4849,1.0
Nickel,63.54,8.81,684,143,226,1.0152,1.0
Graphite,21.55,2.16,383,23,258,0.2681,0.9424
Nickel,75.62,8.87,497,96,780,0.1737,1.0
PTFE,13.21,2.14,655,57,968,0.4182,1.0
Brass,52.05,8.48,216,47,438,0.0671,0.9165
Bronze,61.62,8.79,530,125,197,0.7683,1.0
Brass,62.61,8.53,297,196,347,0.4501,1.0
Inconel,90.32,8.24,183,109,109,0.3029,1.0
PTFE,9.55,2.24,671,79,752,1.0343,1.0
Inconel,89.14,8.3,194,23,61,0.1168,0.347
Titanium,75.07,4.53,285,103,761,0.1274,1.0
Magnesium,34.03,1.8,108,119,726,0.2387,1.0
Graphite,23.33,2.1,419,139,430,0.8558,1.0
Tungsten,95.81,19.04,347,29,550,0.1674,0.3866
Aluminum,40.22,2.77,215,175,452,0.4056,1.0
Graphite,24.74,2.18,605,110,824,0.4826,1.0
Zinc,28.44,7.14,406,62,403,0.45,1.0
Tungsten,96.23,19.06,457,145,801,0.2002,1.0
Brass,52.17,8.62,468,133,583,0.433,1.0
Graphite,10.02,2.09,756,106,853,1.2716,1.0
Steel,78.59,7.81,44,180,391,0.065,1.0
Zinc,38.12,7.01,282,77,657,0.1895,1.0
CastIron,87.65,7.39,435,144,885,0.2972,1.0
Bronze,74.21,8.66,592,53,899,0.2355,0.676
Tungsten,94.0,19.29,46,188,780,0.0988,1.0
CastIron,72.82,7.13,59,183,86,0.3825,1.0
Titanium,78.43,4.43,85,39,992,0.0342,0.4631
Bronze,62.29,8.88,401,13,156,0.2202,0.1928
Inconel,91.98,8.24,627,174,56,2.7961,1.0
Graphite,23.3,1.89,291,35,485,0.2385,1.0
Zinc,34.01,7.16,187,146,278,0.4606,1.0
Nickel,75.98,8.71,63,104,495,0.075,1.0
Bronze,65.79,8.72,331,131,854,0.1459,1.0
Bronze,72.76,8.79,200,15,763,0.1818,0.3022
Aluminum,50.88,2.69,366,63,420,0.1604,0.9156
Steel,73.44,7.72,299,152,55,1.4805,1.0
Tungsten,98.05,19.22,546,74,192,0.3023,0.7959
Zinc,36.2,7.15,640,77,337,0.5199,1.0
Graphite,21.68,1.89,528,178,858,0.6583,1.0
Titanium,77.3,4.59,421,108,592,0.2383,1.0
CastIron,74.79,7.35,34,164,306,0.1974,1.0
Magnesium,41.24,1.68,475,102,686,0.3771,1.0
Ceramic,91.88,3.97,769,97,413,0.4029,1.0
CastIron,72.53,7.22,191,104,931,0.16,1.0
Nickel,74.01,8.8,765,140,531,0.4921,1.0
Tungsten,95.95,19.12,28,153,75,0.0856,1.0
Nickel,70.15,8.9,266,5,359,0.0297,0.1389
Brass,64.01,8.6,690,13,684,0.1712,0.4448
Brass,50.92,8.53,694,178,265,1.3427,1.0
PTFE,10.38,2.12,370,80,895,0.5476,1.0
Steel,75.22,7.79,787,156,571,0.4856,1.0
Nickel,67.73,8.86,332,9,799,0.1729,0.1929
Ceramic,96.01,3.78,631,197,874,0.3439,1.0
Ceramic,89.96,3.7,690,98,135,0.824,0.8484
Titanium,80.33,4.51,370,167,970,0.231,1.0
Copper,46.83,8.88,503,72,457,0.3216,1.0
Zinc,38.47,7.08,733,46,810,0.2266,1.0
PTFE,7.45,2.16,432,83,342,1.9184,1.0
Aluminum,46.83,2.66,696,174,689,0.6476,1.0
Copper,38.13,8.89,543,185,258,1.3689,1.0
Ceramic,93.93,3.89,229,22,530,0.0634,0.3748
Copper,51.33,8.86,650,159,606,0.4885,1.0
Tungsten,99.24,19.17,406,28,114,0.155,0.25
Nickel,78.79,8.79,473,64,338,0.3098,0.6753
Graphite,23.1,1.95,37,144,839,0.0508,1.0
Nickel,65.13,8.86,329,10,458,0.1178,0.3725
Bronze,55.27,8.79,752,104,516,0.4225,1.0
Ceramic,98.97,3.69,504,116,946,0.2385,0.8379
Ceramic,86.97,3.52,537,56,602,0.207,0.5446
Brass,59.93,8.36,570,99,114,1.127,1.0
Brass,59.02,8.39,469,122,451,0.408,1.0
CastIron,78.57,7.31,146,139,90,0.393,1.0
Magnesium,42.9,1.71,671,157,820,0.4371,1.0
Nickel,73.6,8.81,605,198,107,2.0459,1.0
Bronze,60.91,8.62,234,68,678,0.0686,0.7997
Aluminum,50.61,2.78,505,184,100,2.4376,1.0
Bronze,73.03,8.87,382,111,92,0.982,1.0
Zinc,28.35,7.05,165,127,593,0.174,1.0
Bronze,66.59,8.88,528,78,440,0.2086,1.0
Ceramic,99.99,3.65,526,59,619,0.0731,0.4909
Magnesium,43.89,1.79,384,29,332,0.1578,0.5199
Inconel,85.26,8.22,306,124,814,0.1424,1.0
Steel,72.46,7.7,97,53,672,0.1959,0.8016
CastIron,73.18,7.27,337,142,280,0.3666,1.0
Magnesium,31.23,1.75,483,132,810,0.4457,1.0
Zinc,25.81,7.11,27,186,551,0.2269,1.0
Zinc,32.03,7.09,205,139,275,0.6017,1.0
Aluminum,44.83,2.73,53,74,533,0.1417,1.0
Ceramic,89.41,3.54,333,103,831,0.1577,1.0
Bronze,58.96,8.69,668,188,694,0.5346,1.0
PTFE,7.91,2.28,161,161,289,1.5478,1.0
Ceramic,98.74,3.51,396,87,909,0.2047,0.8329
Aluminum,41.5,2.61,561,117,236,1.0319,1.0
Inconel,89.3,8.19,502,177,946,0.2014,1.0
Brass,57.83,8.69,131,99,965,0.0484,1.0
PTFE,9.36,2.28,540,175,456,2.9201,1.0
PTFE,6.81,2.24,678,170,728,2.9241,1.0
Bronze,62.23,8.68,405,94,443,0.3174,1.0
Aluminum,40.29,2.75,677,148,295,1.1082,1.0
Inconel,93.8,8.41,185,63,527,0.1937,0.6332
PTFE,10.1,2.27,668,182,205,7.5274,1.0
Aluminum,49.73,2.61,404,161,537,0.3854,1.0
Magnesium,32.74,1.84,348,61,76,1.1734,1.0
Steel,65.87,7.89,515,185,253,0.887,1.0
Titanium,76.73,4.45,573,81,792,0.1781,0.799
Copper,36.95,8.86,305,47,154,0.4549,1.0
Bronze,55.58,8.88,572,68,942,0.2586,0.9745
Tungsten,95.85,19.2,698,132,701,0.3109,0.976
Tungsten,94.06,19.11,191,139,66,0.696,1.0
Ceramic,89.67,3.88,589,141,403,0.4098,1.0
Tungsten,98.22,19.32,708,79,955,0.2106,0.6826
CastIron,78.54,7.38,354,183,967,0.2598,1.0
Brass,64.92,8.61,194,72,110,0.313,0.8159
Tungsten,98.11,19.21,456,62,672,0.0802,0.6285
Tungsten,91.43,19.05,249,100,308,0.2538,1.0
Brass,64.31,8.51,528,18,267,0.1006,0.41
Titanium,78.87,4.46,297,140,932,0.179,1.0
CastIron,83.51,7.07,166,46,220,0.2037,0.4619
Ceramic,87.86,3.61,147,12,670,0.0356,0.3737
Tungsten,90.1,19.01,453,103,474,0.2105,1.0
Zinc,34.76,7.01,120,112,603,0.1054,1.0
Aluminum,45.4,2.68,501,95,500,0.3901,1.0
Inconel,94.66,8.12,158,149,151,0.2393,1.0
Brass,60.9,8.67,213,184,926,0.099,1.0
Magnesium,34.61,1.81,592,42,794,0.2054,1.0
Steel,74.41,7.81,513,37,204,0.2625,0.5486
Graphite,15.08,2.18,38,103,479,0.0979,1.0
Steel,75.19,7.8,282,94,468,0.2349,1.0
Brass,45.19,8.34,467,92,60,2.011,1.0
Ceramic,92.38,3.97,562,186,565,0.2718,1.0
Brass,58.96,8.45,271,101,893,0.2039,1.0
Ceramic,93.21,3.92,500,143,216,0.5623,1.0
Brass,49.03,8.33,593,188,599,0.644,1.0
Tungsten,92.54,19.05,385,11,728,0.0743,0.4071
Tungsten,95.47,19.32,737,31,761,0.1661,0.5213
Steel,79.08,7.71,794,183,884,0.3149,1.0
Brass,53.62,8.38,728,65,765,0.3137,0.9873
Ceramic,92.01,3.9,721,71,808,0.2368,0.7131
Tungsten,97.77,19.07,195,189,843,0.2286,1.0
Nickel,76.75,8.88,107,96,190,0.1586,1.0
Copper,50.48,8.97,186,5,421,0.0946,0.3743
CastIron,89.56,7.35,628,63,954,0.1562,0.7469
Magnesium,42.2,1.81,56,43,982,0.1582,0.8039
Steel,82.27,7.78,548,76,731,0.2496,0.9255
Bronze,63.49,8.66,341,15,235,0.1114,0.4657
Zinc,25.38,7.13,363,163,66,4.5359,1.0
PTFE,7.73,2.17,136,70,541,0.4399,1.0
PTFE,12.33,2.2,639,139,713,1.3168,1.0
Inconel,88.42,8.15,658,26,300,0.2608,0.4065
Nickel,73.57,8.77,634,99,226,0.6546,1.0
Inconel,97.22,8.2,249,168,378,0.2908,1.0
Magnesium,38.66,1.87,686,28,929,0.1176,0.6664
Aluminum,52.84,2.76,303,53,681,0.1849,0.9001
Brass,58.34,8.7,406,115,558,0.2389,1.0
Zinc,27.38,7.0,789,26,535,0.2708,0.8689
Zinc,32.83,7.04,89,41,93,0.2246,1.0
Magnesium,37.01,1.83,155,165,506,0.2744,1.0
Magnesium,38.33,1.67,663,200,146,3.0311,1.0
Graphite,15.39,1.88,164,57,126,0.6929,1.0
Magnesium,33.53,1.88,61,177,389,0.2413,1.0
Titanium,93.26,4.58,392,124,558,0.194,1.0
Tungsten,95.16,19.4,181,190,837,0.1093,1.0
Graphite,19.3,2.08,746,33,237,0.8142,1.0
Bronze,58.94,8.63,383,24,77,0.4329,0.4168
Magnesium,40.31,1.82,682,43,495,0.3196,0.8254
PTFE,5.17,2.15,683,31,75,6.956,1.0
Aluminum,51.67,2.74,30,113,941,0.0359,1.0
Magnesium,31.68,1.84,791,87,520,0.6709,1.0
Inconel,85.11,8.22,774,106,646,0.329,0.9622
Bronze,55.07,8.75,598,173,960,0.2702,1.0
Titanium,85.41,4.54,544,150,233,0.6449,1.0
Ceramic,94.12,3.7,453,177,600,0.2514,1.0
Magnesium,39.22,1.79,523,87,780,0.2125,1.0
Steel,82.09,7.87,782,106,810,0.1848,1.0
CastIron,71.75,7.33,659,136,331,0.5818,1.0
Copper,39.67,8.82,338,119,468,0.4539,1.0
Brass,61.63,8.31,726,5,868,0.0918,0.3358
CastIron,79.89,7.23,216,154,644,0.2325,1.0
Steel,81.98,7.89,704,104,150,0.9195,0.9618
Steel,81.02,7.8,435,153,853,0.2952,1.0
Brass,49.95,8.67,279,170,252,0.6177,1.0
Nickel,67.3,8.83,532,34,895,0.0899,0.4034
Graphite,23.98,1.87,625,18,752,0.2766,0.5523
Nickel,76.34,8.79,508,51,806,0.0786,0.5159
Zinc,36.39,7.16,712,117,643,0.5583,1.0
Tungsten,90.3,19.05,750,45,714,0.1853,0.4894
PTFE,5.44,2.16,674,168,800,3.4225,1.0
Copper,41.63,8.83,229,15,75,0.3042,0.3134
Nickel,62.71,8.73,202,107,829,0.2465,1.0
Bronze,59.72,8.89,361,134,603,0.1915,1.0
Inconel,91.73,8.49,179,154,412,0.141,1.0
PTFE,12.19,2.3,99,5,616,0.1237,0.5896
PTFE,5.81,2.19,346,51,860,0.5004,1.0
Zinc,36.68,7.09,756,198,287,1.8361,1.0
Graphite,21.71,2.01,650,60,613,0.4634,1.0
Brass,47.76,8.65,782,114,397,0.6494,1.0
CastIron,89.44,7.18,389,8,301,0.1819,0.4061
Ceramic,90.85,3.58,266,23,570,0.0979,0.2988
Ceramic,94.18,3.96,189,95,515,0.1668,0.7449
Nickel,75.24,8.84,669,140,464,0.4668,1.0
Copper,41.67,8.89,372,9,493,0.1915,0.3387
Steel,69.39,7.8,322,128,368,0.2493,1.0
Graphite,13.88,1.82,547,59,583,0.6093,1.0
Zinc,32.56,7.01,604,20,570,0.244,0.6966
PTFE,9.81,2.17,531,121,1000,1.008,1.0
Inconel,82.27,8.37,777,116,82,1.7048,1.0
Graphite,22.76,2.08,386,195,156,2.8256,1.0
Aluminum,50.33,2.62,700,76,492,0.4225,1.0
Tungsten,93.27,19.34,599,113,555,0.2806,0.9106
Ceramic,91.44,3.57,662,10,944,0.155,0.2318
Aluminum,41.17,2.68,44,122,350,0.2042,1.0
Bronze,54.63,8.78,184,200,85,1.0981,1.0
Steel,65.32,7.84,579,103,318,0.5444,1.0
Magnesium,35.46,1.64,49,178,338,0.2122,1.0
Magnesium,35.06,1.89,279,188,844,0.2414,1.0
Bronze,50.33,8.7,666,117,480,0.4329,1.0
Titanium,84.4,4.47,42,181,110,0.1823,1.0
Ceramic,96.79,3.52,517,103,432,0.3529,0.9285
Zinc,36.53,7.05,585,88,565,0.332,1.0
Tungsten,91.87,19.32,165,44,272,0.0563,0.4902
Magnesium,36.44,1.85,768,101,639,0.6064,1.0
Tungsten,98.85,19.35,466,56,698,0.1653,0.5872
Zinc,34.69,7.19,79,198,193,0.3031,1.0
CastIron,75.94,7.31,572,69,290,0.3648,0.8101
Ceramic,88.04,3.72,342,64,177,0.192,0.8327
Inconel,82.78,8.47,325,75,408,0.1779,0.9182
Ceramic,90.4,3.81,118,82,557,0.2192,0.8575
Steel,83.99,7.77,43,59,55,0.2112,0.5936
Tungsten,94.21,19.31,370,150,695,0.1449,1.0
Steel,81.54,7.77,173,129,176,0.2727,1.0
Brass,54.8,8.55,62,129,228,0.1605,1.0
Brass,45.72,8.58,701,190,893,0.4475,1.0
Copper,43.44,8.98,786,180,909,0.5816,1.0
Bronze,60.55,8.74,502,23,246,0.1227,0.4109
Brass,51.86,8.38,773,32,175,0.4078,0.4918
Bronze,61.08,8.64,611,20,737,0.0679,0.2882
Titanium,75.19,4.52,441,18,920,0.0475,0.3133
Aluminum,53.7,2.72,352,66,503,0.2991,0.9824
CastIron,75.44,7.07,90,144,991,0.0591,1.0
Graphite,14.12,1.91,537,165,788,1.1914,1.0
Aluminum,44.5,2.65,258,20,835,0.0377,0.6217
CastIron,85.02,7.11,791,92,602,0.2473,0.8138
Aluminum,55.34,2.73,627,87,932,0.2992,1.0
Bronze,72.57,8.85,675,191,861,0.3563,1.0
PTFE,12.98,2.14,289,196,299,1.881,1.0
Copper,46.8,8.89,546,179,709,0.4382,1.0
Nickel,67.32,8.71,710,192,168,1.6117,1.0
Copper,52.41,8.99,305,162,525,0.4056,1.0
Tungsten,99.43,19.08,786,169,433,0.503,1.0
Copper,43.18,8.86,125,189,611,0.182,1.0
Tungsten,96.88,19.15,475,109,331,0.2179,1.0
Steel,84.7,7.85,229,184,763,0.2595,1.0
Nickel,66.72,8.75,490,183,974,0.2276,1.0
Nickel,74.14,8.74,550,67,928,0.1532,0.8914
Copper,41.95,8.9,798,168,745,0.7109,1.0
Brass,61.44,8.38,642,66,738,0.2699,0.8
Tungsten,99.65,19.32,103,63,260,0.1796,0.6608
Inconel,88.84,8.46,261,135,204,0.2745,1.0
Nickel,78.75,8.84,453,141,137,0.9064,1.0
Steel,69.38,7.88,567,66,834,0.1477,0.8021
Titanium,89.38,4.48,634,39,272,0.2859,0.6312
PTFE,12.5,2.25,462,193,472,1.9638,1.0
PTFE,8.69,2.29,486,118,671,1.262,1.0
Aluminum,40.04,2.72,742,132,420,0.7481,1.0
Ceramic,95.52,3.75,197,100,347,0.2235,0.8809
Steel,82.37,7.74,538,8,737,0.0756,0.2599
Tungsten,95.01,19.03,236,76,787,0.0782,0.6697
PTFE,6.37,2.23,43,9,795,0.1861,1.0
Inconel,80.43,8.22,729,27,278,0.2483,0.4365
Brass,47.0,8.38,440,110,241,0.6698,1.0
Copper,52.22,8.96,718,55,262,0.447,0.8684
Magnesium,35.26,1.86,523,26,530,0.1824,0.7373
Zinc,32.09,7.01,474,188,72,4.9236,1.0
Zinc,34.21,7.1,791,122,147,2.4636,1.0
Aluminum,50.62,2.67,85,165,703,0.1899,1.0
Titanium,86.77,4.55,468,124,489,0.3283,1.0
PTFE,10.15,2.15,265,139,78,5.9023,1.0
Inconel,95.54,8.39,328,166,598,0.2973,1.0
Graphite,13.95,2.05,538,200,294,3.3505,1.0
Inconel,93.68,8.45,63,144,998,0.0416,1.0
Copper,39.97,8.88,571,194,107,3.2831,1.0
Magnesium,44.7,1.77,684,103,345,0.7028,1.0
Magnesium,38.06,1.77,347,80,466,0.2903,1.0
Nickel,78.59,8.76,394,163,445,0.2834,1.0
Nickel,68.6,8.86,281,40,408,0.1844,0.5061
Ceramic,88.44,3.62,333,102,545,0.1547,0.8256
Copper,52.48,8.85,429,196,562,0.4981,1.0
Brass,59.18,8.49,798,32,491,0.2056,0.5653
Nickel,71.13,8.77,32,69,890,0.0866,0.8738
Nickel,69.11,8.73,167,62,505,0.1982,0.8907
Brass,59.45,8.38,532,160,459,0.4187,1.0
Inconel,86.09,8.44,695,52,127,0.4845,0.6559
Copper,37.45,8.97,594,166,232,1.6104,1.0
Inconel,85.68,8.17,591,69,272,0.3937,0.881
Bronze,57.94,8.65,254,113,209,0.4462,1.0
Bronze,54.71,8.82,583,142,419,0.496,1.0
Aluminum,46.3,2.69,690,164,290,1.2093,1.0
Steel,84.09,7.73,617,79,394,0.2575,0.7539
CastIron,70.36,7.29,37,16,75,0.0982,0.407
Aluminum,40.77,2.63,405,106,498,0.4055,1.0
Inconel,92.62,8.28,269,85,496,0.2208,0.9213
Tungsten,93.27,19.36,465,28,313,0.1188,0.3122
Copper,47.4,8.93,255,55,455,0.1506,1.0
Brass,59.12,8.38,686,51,208,0.4174,0.8873
Graphite,13.01,1.98,297,121,962,0.3848,1.0
Tungsten,99.41,19.24,90,44,186,0.0393,0.5615
Nickel,63.29,8.78,512,172,337,0.6067,1.0
Bronze,63.31,8.86,288,78,955,0.2018,1.0
Graphite,15.29,2.13,554,23,75,1.4568,1.0
Bronze,62.58,8.63,521,74,209,0.5025,0.8749
Aluminum,52.27,2.62,107,63,368,0.0801,0.9053
Copper,51.81,8.92,100,39,878,0.128,0.651
PTFE,12.57,2.13,408,137,399,1.5927,1.0
Magnesium,42.45,1.61,89,33,657,0.0994,0.6561
Magnesium,39.86,1.8,596,59,252,0.5614,1.0
PTFE,11.59,2.29,477,164,165,5.3008,1.0
CastIron,75.77,7.39,651,66,54,1.4247,0.6676
Zinc,29.69,7.01,245,83,298,0.3901,1.0
Graphite,16.54,2.1,416,135,236,1.9889,1.0
Ceramic,90.35,3.5,570,154,846,0.3386,1.0
Graphite,13.53,1.95,461,5,535,0.1715,0.4385
Inconel,91.13,8.18,339,5,97,0.0628,0.2427
PTFE,13.75,2.2,205,19,384,0.1814,1.0
Magnesium,34.08,1.83,248,137,704,0.2005,1.0
Nickel,72.11,8.77,779,39,303,0.3259,0.4963
Ceramic,98.54,3.55,798,11,365,0.0406,0.2681
Magnesium,35.46,1.8,392,90,650,0.3468,1.0
Titanium,75.23,4.51,291,118,421,0.2642,1.0
Copper,50.05,8.98,789,61,805,0.2971,0.8876
Graphite,11.8,1.92,41,93,444,0.1912,1.0
Graphite,12.73,1.85,57,188,507,0.326,1.0
Graphite,16.66,1.98,325,140,877,0.5724,1.0
Steel,78.32,7.78,147,136,131,0.432,1.0
Copper,44.56,8.83,352,101,911,0.215,1.0
Zinc,37.18,7.14,457,158,823,0.3406,1.0
Brass,46.1,8.46,220,45,740,0.2016,0.9372
Magnesium,36.56,1.66,709,157,310,1.3438,1.0
Tungsten,91.11,19.36,501,115,272,0.4682,0.9654
Zinc,25.22,7.06,547,90,680,0.4338,1.0
Brass,57.15,8.66,218,86,758,0.1866,1.0
Bronze,64.55,8.63,594,57,781,0.2366,0.7333
CastIron,89.9,7.04,338,92,540,0.1452,0.9225
Brass,60.42,8.42,781,184,675,0.622,1.0
Steel,79.7,7.75,606,155,124,1.3394,1.0
Zinc,34.2,7.18,386,63,491,0.2353,1.0
Brass,61.68,8.54,243,55,306,0.1027,0.7288
CastIron,87.03,7.01,79,177,910,0.0926,1.0
Tungsten,91.42,19.23,666,158,844,0.3566,1.0
Copper,52.18,8.9,391,139,944,0.2596,1.0
CastIron,72.34,7.13,717,8,233,0.1757,0.1481
Zinc,39.51,7.1,600,17,102,0.4429,0.4109
Titanium,80.76,4.55,797,163,720,0.3767,1.0
CastIron,71.25,7.29,696,156,767,0.3478,1.0
Steel,81.24,7.72,143,160,792,0.1409,1.0
Steel,70.17,7.85,547,100,233,0.4452,1.0
Tungsten,91.41,19.07,392,62,756,0.0724,0.763
Aluminum,47.05,2.73,705,97,478,0.4536,1.0
Nickel,64.46,8.74,302,75,387,0.1297,0.9411
Zinc,25.56,7.2,241,137,748,0.3842,1.0
Zinc,28.81,7.1,394,63,210,0.5816,1.0
Bronze,70.57,8.83,149,137,155,0.4119,1.0
Aluminum,41.41,2.65,338,169,453,0.4108,1.0
Magnesium,41.55,1.63,123,40,672,0.1199,0.7284
Copper,42.29,8.93,83,115,868,0.2234,1.0
Titanium,78.51,4.57,262,184,639,0.2446,1.0
PTFE,9.41,2.24,601,102,810,1.1548,1.0
Titanium,87.53,4.57,546,29,528,0.1235,0.5296
Brass,60.83,8.43,168,22,166,0.1448,0.5172
Aluminum,57.23,2.63,317,149,581,0.3752,1.0
Magnesium,30.25,1.86,36,125,602,0.1114,1.0
